SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR15836881	PRJNA761539	Burned	341	341	4.38296943	0.751553113	0.193897548	2.060484422	29.59801079	0.029923004
SRR15836892	PRJNA761539	Burned	163	163	3.632022538	0.713035071	0.153745691	2.054597958	12.62736495	0.024554361
SRR15836903	PRJNA761539	Burned	260	260	3.853142123	0.692926224	0.168746936	2.058709542	25.1700215	0.049270769
SRR15836914	PRJNA761539	Burned	237	237	3.926990631	0.718168881	0.156189305	2.059961184	22.57273814	0.047420234
SRR15836925	PRJNA761539	Burned	215	215	3.865656625	0.71977605	0.115320546	2.058737047	17.72066543	0.042030425
SRR15836926	PRJNA761539	Burned	60	60	2.204131316	0.538335571	0.434810741	2.028268545	3.610831991	0.033998806
SRR15836937	PRJNA761539	Unburned	794	794	6.184994466	0.926301806	0.018159399	2.061414357	72.315848	0.058816296
SRR15836948	PRJNA761539	Unburned	788	788	6.137000105	0.920159212	0.022024523	2.061367668	68.10253652	0.055655671
SRR15836959	PRJNA761539	Unburned	856	856	6.18062237	0.915339882	0.04082021	2.061404528	68.79143415	0.052784472
SRR15836970	PRJNA761539	Unburned	753	753	5.968095138	0.900971674	0.043755064	2.06140898	67.76073142	0.064181563
SRR15836981	PRJNA761539	Unburned	711	711	6.115716345	0.931326545	0.021825679	2.061420334	61.91202183	0.059366864
SRR15836990	PRJNA761539	Burned	38	38	2.209518577	0.6074134	0.34611618	2.043119657	2.116910973	0.090812842
SRR15836991	PRJNA761539	Unburned	832	832	6.152432719	0.915018745	0.051779752	2.061419164	71.01498295	0.05851232
SRR15836992	PRJNA761539	Unburned	761	761	6.062039933	0.913696297	0.049951059	2.061418406	67.27180703	0.063532831
SRR15836993	PRJNA761539	Unburned	978	978	6.384806665	0.927281635	0.029902272	2.061420235	89.78359945	0.058171587
SRR15836994	PRJNA761539	Unburned	572	572	5.740669367	0.904165017	0.05384522	2.061402373	54.05203922	0.062411573
SRR15836995	PRJNA761539	Unburned	626	626	5.885342347	0.913965231	0.024150075	2.061366883	57.49673203	0.055420341
SRR15836996	PRJNA761539	Unburned	563	563	5.837059108	0.921648727	0.050417297	2.061418725	46.58214722	0.06128223
SRR15837000	PRJNA761539	Burned	44	44	2.073261115	0.54787453	0.459358151	2.049670787	3.728551698	0.036152642
SRR15837011	PRJNA761539	Burned	213	213	4.260009461	0.794586329	0.10830809	2.059313776	20.48316044	0.036005144
SRR16381499	PRJNA772087	Burned	154	154	4.447288164	0.882932304	0.074951644	2.06046964	13.46933812	0.052577513
