SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR23075995	PRJNA922564	Burned	753	754.6666667	6.225192447	0.939784291	0.011306973	2.061423036	29.23019576	0.013113786
SRR23075998	PRJNA922564	Burned	837	837.1666667	6.235216516	0.926505129	0.010679562	2.061423036	31.18034635	0.009941617
SRR23076000	PRJNA922564	Burned	134	134	4.621334997	0.94354556	0.02472423	2.061423036	15.85326581	0.095133779
SRR23076002	PRJNA922564	Burned	337	337	5.62858423	0.967096912	0.012329322	2.061423036	25.39072665	0.034365153
SRR23076004	PRJNA922564	Burned	600	609.2307692	5.814020628	0.908876749	0.014406133	2.061423036	19.53263075	0.008664926
SRR23076006	PRJNA922564	Burned	812	816	6.228793171	0.929739959	0.013151897	2.061423036	24.95468905	0.008800681
SRR23076008	PRJNA922564	Unburned	540	540	5.867103746	0.932534256	0.011985562	2.061423036	29.21130603	0.016800752
SRR23076009	PRJNA922564	Burned	463	463	5.933133682	0.966666264	0.009574498	2.061423036	27.82876215	0.034491841
SRR23076011	PRJNA922564	Burned	761	762.9090909	6.309172218	0.950945121	0.012187134	2.061423036	24.4570152	0.010967051
SRR23076013	PRJNA922564	Burned	729	730	6.375462545	0.967199349	0.007475571	2.061423036	27.72658142	0.017239446
SRR23076015	PRJNA922564	Burned	625	627.3333333	6.242566525	0.969681166	0.0059134	2.061423036	34.09448204	0.0278442
SRR23076017	PRJNA922564	Burned	611	611	6.148777237	0.958485472	0.010351926	2.061423036	29.31053052	0.016772531
SRR23076020	PRJNA922564	Burned	157	157	4.817006648	0.952684429	0.02029893	2.061423036	17.71909444	0.063377434
SRR23076022	PRJNA922564	Burned	92	92	4.307426058	0.952593423	0.040204966	2.061423036	13.98927188	0.10184011
SRR23076024	PRJNA922564	Burned	117	117	4.616463284	0.969402493	0.025325615	2.061423036	14.26241314	0.089920402
SRR23076026	PRJNA922564	Burned	628	629.5	5.964155633	0.925745976	0.016154342	2.061423036	19.50118192	0.011640749
SRR23076028	PRJNA922564	Unburned	536	551	6.114773129	0.973049425	0.00804595	2.061423036	33.14532577	0.022777901
SRR23076030	PRJNA922564	Unburned	577	580.3333333	6.079296813	0.956188681	0.00826504	2.061423036	30.44055099	0.02493544
SRR23076032	PRJNA922564	Unburned	163	163	4.9354779	0.968928138	0.018176459	2.061423036	20.4795151	0.048688665
SRR23076034	PRJNA922564	Burned	1448	1449.666667	6.973653749	0.958190795	0.005301058	2.061423036	48.10823982	0.018955299
SRR23076036	PRJNA922564	Burned	613	613	6.178292247	0.962595974	0.010412051	2.061423036	32.48098151	0.025245939
SRR23076038	PRJNA922564	Burned	961	961	6.598793858	0.960806413	0.007304493	2.061423036	36.60863143	0.016849589
SRR23076040	PRJNA922564	Unburned	888	888	6.529935248	0.961844517	0.006685739	2.061423036	40.51616084	0.012105463
SRR23076041	PRJNA922564	Burned	359	359	5.717396075	0.971797175	0.011899361	2.061423036	19.04283095	0.014423251
SRR23076043	PRJNA922564	Burned	288	291.75	5.444180414	0.961366486	0.012822007	2.061423036	13.23653986	0.031948498
SRR23076045	PRJNA922564	Burned	130	130	4.526209187	0.929877176	0.041641521	2.061423036	10.35290562	0.068307622
